id;latitude;longitude;genera_plant;genera_plan_ver;sp_plant;author_plant;sp_plant_ver;author_plant_ver;subfamily;genera_floralvisitor;genera_floralvisitor_ver;sp_floralvisitor;author_floralvisitor;sp_floralvisitor_ver;author_floralvisitor_ver;pollinator_group;bodypolendeposition;behaviour;relativefrequency
2733;-20,75;-42,85;Mabea;Mabea;fistulifera;Mart.;fistulifera;Mart.;Stenodermatinae;Artibeus;Artibeus;Artibeus lituratus;Offers;Artibeus lituratus;(Olfers, 1818);bat;che;p;NA
2733;-20,75;-42,85;Mabea;Mabea;fistulifera;Mart.;fistulifera;Mart.;Stenodermatinae;Artibeus;Artibeus;Artibeus lituratus;Offers;Artibeus lituratus;(Olfers, 1818);bat;ros;p;NA
2733;-20,75;-42,85;Mabea;Mabea;fistulifera;Mart.;fistulifera;Mart.;Stenodermatinae;Artibeus;Artibeus;Artibeus lituratus;Offers;Artibeus lituratus;(Olfers, 1818);bat;win;p;NA
2736;-20,75;-42,85;Mabea;Mabea;fistulifera;Mart.;fistulifera;Mart.;Glossophaginae;Glossophaga;Glossophaga;Glossophaga soricina;Pallas;Glossophaga soricina;(Pallas, 1766);bat;ros;p;NA
2737;-20,75;-42,85;Mabea;Mabea;fistulifera;Mart.;fistulifera;Mart.;Stenodermatinae;(Platyrrhinus)Vampyrops;Platyrrhinus;Platyrrhinus lineatus;E. Geoffroy;Platyrrhinus lineatus;(É. Geoffroy, 1810);bat;bel;p;NA
2737;-20,75;-42,85;Mabea;Mabea;fistulifera;Mart.;fistulifera;Mart.;Stenodermatinae;(Platyrrhinus)Vampyrops;Platyrrhinus;Platyrrhinus lineatus;E. Geoffroy;Platyrrhinus lineatus;(É. Geoffroy, 1810);bat;che;p;NA
2737;-20,75;-42,85;Mabea;Mabea;fistulifera;Mart.;fistulifera;Mart.;Stenodermatinae;(Platyrrhinus)Vampyrops;Platyrrhinus;Platyrrhinus lineatus;E. Geoffroy;Platyrrhinus lineatus;(É. Geoffroy, 1810);bat;ros;p;NA
2737;-20,75;-42,85;Mabea;Mabea;fistulifera;Mart.;fistulifera;Mart.;Stenodermatinae;(Platyrrhinus)Vampyrops;Platyrrhinus;Platyrrhinus lineatus;E. Geoffroy;Platyrrhinus lineatus;(É. Geoffroy, 1810);bat;win;p;NA
2738;-20,75;-42,85;Mabea;Mabea;fistulifera;Mart.;fistulifera;Mart.;Stenodermatinae;Sturnira;Sturnira;Sturnira lilium;E. Geoffroy;Sturnira lilium;(É. Geoffroy, 1810);bat;bel;p;NA
2738;-20,75;-42,85;Mabea;Mabea;fistulifera;Mart.;fistulifera;Mart.;Stenodermatinae;Sturnira;Sturnira;Sturnira lilium;E. Geoffroy;Sturnira lilium;(É. Geoffroy, 1810);bat;che;p;NA
